"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"338",23.5,6,173,110,2725,12.6,81,1,"chevrolet citation"
"69",12,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale"
"9",14,8,455,225,4425,10,70,1,"pontiac catalina"
"283",20.6,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"229",15.5,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"271",23.8,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"211",16.5,8,350,180,4380,12.1,76,1,"cadillac seville"
"331",32.7,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"195",24.5,4,98,60,2164,22.1,76,1,"chevrolet woody"
"308",41.5,4,98,76,2144,14.7,80,2,"vw rabbit"
"328",44.6,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"307",33.5,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"341",39,4,86,64,1875,16.4,81,1,"plymouth champ"
"258",20.8,6,200,85,3070,16.7,78,1,"mercury zephyr"
"242",21.5,3,80,110,2720,13.5,77,3,"mazda rx-4"
"324",44.3,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"249",19.4,8,318,140,3735,13.2,78,1,"dodge diplomat"
"62",13,8,350,165,4274,12,72,1,"chevrolet impala"
"370",36,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"91",13,8,400,150,4464,12,73,1,"chevrolet caprice classic"
"311",37.2,4,86,65,2019,16.4,80,3,"datsun 310"
"203",32,4,85,70,1990,17,76,3,"datsun b-210"
"382",38,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"326",36.4,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"86",14,8,304,150,3672,11.5,73,1,"amc matador"
"171",25,4,90,71,2223,16.5,75,2,"volkswagen dasher"
"8",14,8,440,215,4312,8.5,70,1,"plymouth fury iii"
"41",14,8,318,150,4096,13,71,1,"plymouth fury iii"
"22",24,4,107,90,2430,14.5,70,2,"audi 100 ls"
"137",14,8,318,150,4457,13.5,74,1,"dodge coronet custom (sw)"
"191",22,6,250,105,3353,14.5,76,1,"chevrolet nova"
"371",37,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"286",16.5,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"125",20,6,198,95,3102,16.5,74,1,"plymouth duster"
"118",24,4,116,75,2158,15.5,73,2,"opel manta"
"65",14,8,351,153,4129,13,72,1,"ford galaxie 500"
"152",18,6,250,105,3459,16,75,1,"chevrolet nova"
"209",19,6,156,108,2930,15.5,76,3,"toyota mark ii"
"306",26.8,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"340",39.1,4,79,58,1755,16.9,81,3,"toyota starlet"
"17",18,6,199,97,2774,15.5,70,1,"amc hornet"
"354",31.6,4,120,74,2635,18.3,81,3,"mazda 626"
"54",35,4,72,69,1613,18,71,3,"datsun 1200"
"59",23,4,97,54,2254,23.5,72,2,"volkswagen type 3"
"187",16,8,318,150,4190,13,76,1,"dodge coronet brougham"
"108",20,4,97,88,2279,19,73,3,"toyota carina"
"294",35.7,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"352",32.4,4,108,75,2350,16.8,81,3,"toyota corolla"
"292",31.9,4,89,71,1925,14,79,2,"vw rabbit custom"
"36",19,6,250,88,3302,15.5,71,1,"ford torino 500"
"236",30.5,4,98,63,2051,17,77,1,"chevrolet chevette"
"232",29,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"135",16,8,302,140,4141,14,74,1,"ford gran torino"
"323",40.8,4,85,65,2110,19.2,80,3,"datsun 210"
"220",17.5,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"143",31,4,76,52,1649,16.5,74,3,"toyota corona"
"39",14,8,400,175,4464,11.5,71,1,"pontiac catalina brougham"
"250",20.2,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"255",20.5,6,225,100,3430,17.2,78,1,"plymouth volare"
"109",21,4,140,72,2401,19.5,73,1,"chevrolet vega"
"128",31,4,79,67,1950,19,74,3,"datsun b210"
"164",20,8,262,110,3221,13.5,75,1,"chevrolet monza 2+2"
"379",32,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"126",19,6,232,100,2901,16,74,1,"amc hornet"
"101",23,6,198,95,2904,16,73,1,"plymouth duster"
"165",13,8,302,129,3169,12,75,1,"ford mustang ii"
"31",28,4,140,90,2264,15.5,71,1,"chevrolet vega 2300"
"198",20,6,225,100,3651,17.7,76,1,"dodge aspen se"
"262",17.7,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"155",16,8,400,170,4668,11.5,75,1,"pontiac catalina"
"200",18.5,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"276",16.2,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"15",24,4,113,95,2372,15,70,3,"toyota corona mark ii"
"375",36,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"79",26,4,96,69,2189,18,72,2,"renault 12 (sw)"
"351",33.7,4,107,75,2210,14.4,81,3,"honda prelude"
"3",18,8,318,150,3436,11,70,1,"plymouth satellite"
"116",16,8,400,230,4278,9.5,73,1,"pontiac grand prix"
"2",15,8,350,165,3693,11.5,70,1,"buick skylark 320"
"159",17,6,231,110,3907,21,75,1,"buick century"
"230",15.5,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"44",13,8,400,175,5140,12,71,1,"pontiac safari (sw)"
"213",13,8,302,130,3870,15,76,1,"ford f108"
"189",14.5,8,351,152,4215,12.8,76,1,"ford gran torino"
"377",34,4,108,70,2245,16.9,82,3,"toyota corolla"
"367",29,4,135,84,2525,16,82,1,"dodge aries se"
"333",35,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"78",21,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)"
"263",18.1,8,302,139,3205,11.2,78,1,"ford futura"
"154",15,6,250,72,3158,19.5,75,1,"ford maverick"
"284",17,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"23",25,4,104,95,2375,17.5,70,2,"saab 99e"
"66",17,8,304,150,3672,11.5,72,1,"amc ambassador sst"
"305",28.8,6,173,115,2595,11.3,79,1,"chevrolet citation"
"218",25.5,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"245",32.8,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"196",29,4,90,70,1937,14.2,76,2,"vw rabbit"
"193",22.5,6,232,90,3085,17.6,76,1,"amc hornet"
"149",26,4,108,93,2391,15.5,74,3,"subaru"
"390",32,4,135,84,2295,11.6,82,1,"dodge rampage"
"48",18,6,250,88,3139,14.5,71,1,"ford mustang"
"24",26,4,121,113,2234,12.5,70,2,"bmw 2002"
"14",14,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
"55",27,4,97,60,1834,19,71,2,"volkswagen model 111"
"256",19.4,6,232,90,3210,17.2,78,1,"amc concord"
"136",13,8,350,150,4699,14.5,74,1,"buick century luxus (sw)"
"349",29.9,4,98,65,2380,20.7,81,1,"ford escort 2h"
"57",24,4,113,95,2278,15.5,72,3,"toyota corona hardtop"
"219",33.5,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"16",22,6,198,95,2833,15.5,70,1,"plymouth duster"
"4",16,8,304,150,3433,12,70,1,"amc rebel sst"
"5",17,8,302,140,3449,10.5,70,1,"ford torino"
"67",11,8,429,208,4633,11,72,1,"mercury marquis"
"184",26,4,98,79,2255,17.7,76,1,"dodge colt"
"176",23,4,115,95,2694,15,75,2,"audi 100ls"
"274",17,6,163,125,3140,13.6,78,2,"volvo 264gl"
"380",38,4,91,67,1995,16.2,82,3,"datsun 310 gx"
"318",31.3,4,120,75,2542,17.5,80,3,"mazda 626"
"264",17.5,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"132",16,6,250,100,3781,17,74,1,"chevrolet chevelle malibu classic"
"259",18.6,6,225,110,3620,18.7,78,1,"dodge aspen"
"144",32,4,83,61,2003,19,74,3,"datsun 710"
"122",24,4,121,110,2660,14,73,2,"saab 99le"
"63",14,8,400,175,4385,12,72,1,"pontiac catalina"
"64",15,8,318,150,4135,13.5,72,1,"plymouth fury iii"
"360",26.6,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"88",14,8,302,137,4042,14.5,73,1,"ford gran torino"
